# TIMESTAMP, CAN_ID, DATA_BYTES
  0.2270, 041, 00 00 00 00 00 00 00 00
  0.2270, 083, 00 E0 80 00 00 02 00 00
  0.2270, 085, 7E B9 00 00 00 20 7E 48
  0.2270, 3A3, 80 00 00 00 00 00 00 00
  0.2270, 3B3, 40 48 06 0E 20 05 00 02
  0.2270, 3C3, 40 CC 00 00 00 00 80 00
  0.2271, 41D, 00 00 E0 00 00 00 00 00
  0.2271, 42B, CB BE 80 00 00 00 00 00
  0.2271, 42C, 80 02 00 00 90 20 00 00
  0.2272, 186, 14 04 02 26 81 F7 00 00
  0.2272, 204, C0 00 7D 00 00 00 00 00
  0.2272, 167, 00 80 00 00 00 1A 7F 00
  0.2272, 171, A5 00 A0 00 00 00 00 00
  0.2272, 42F, 00 00 00 00 00 00 00 00
  0.2272, 43D, 10 00 00 00 00 00 00 00
  0.2273, 43E, 00 37 10 8C 91 40 48 00
  0.2273, 4B0, C9 00 00 00 90 00 00 F6
  0.2273, 077, 00 00 08 00 00 07 E9 FA
  0.2273, 07D, 00 00 F6 90 00 1F F7 FD
  0.2273, 213, FF FF 00 0C 01 11 FF 41
  0.2296, 082, 84 00 14 40 7C 00 60 FF
  0.2296, 085, 7E B9 00 00 FF 30 7E 48
  0.2296, 214, 6F 66 00 00 00 00 21 90
  0.2296, 216, 96 E0 55 E5 AA 00 00 00
  0.2296, 217, 00 00 00 00 00 00 00 00
  0.2296, 416, 55 00 F9 04 00 00 0F FF
  0.2297, 091, 7E F7 7F 3B 7D 4D F0 00
  0.2297, 165, 10 C0 00 00 00 00 00 00
  0.2297, 047, 04 F0 ED F5 64 AF 00 00
  0.2297, 167, 00 80 00 00 00 1A 7F 00
  0.2297, 200, 00 00 80 1A 80 1A 00 00
  0.2297, 202, 04 F7 28 00 60 00 00 00
  0.2297, 204, C0 00 7D 00 00 00 00 00
  0.2332, 230, 00 00 00 00 8A 00 00 00
  0.2333, 217, 00 00 00 00 00 00 00 00
  0.2333, 415, 00 00 E8 F2 8F FE 0F FE
  0.2333, 041, 00 00 00 00 00 00 00 00
  0.2333, 242, 02 8B 1F 72 C3 00 00 01
  0.2333, 085, 7E B9 00 00 FE 40 7E 48
  0.2333, 41D, 00 00 E0 00 00 00 00 00
  0.2358, 186, 14 04 02 26 81 F7 00 00
  0.2358, 3D4, FF C1 FE FF DF E0 00 00
  0.2359, 204, C0 00 7D 00 00 00 00 00
  0.2359, 167, 00 80 00 00 00 1A 7F 00
  0.2433, 4B0, C9 00 00 00 A0 00 00 F5
  0.2433, 04A, 02 00 00 00 00 00 00 C0
  0.2434, 04B, 00 C0 D8 D8 D8 D8 D8 00
  0.2434, 077, 00 00 07 FC 00 07 E9 FA
  0.2434, 07D, 00 00 F5 A0 00 20 07 FF
  0.2434, 082, 84 00 14 40 7B 00 60 FF
  0.2434, 085, 7E B9 00 00 FD 50 7E 48
  0.2434, 213, FF FF 00 0C 01 11 FF 41
  0.2434, 214, 6F 66 00 00 00 00 20 A0
  0.2434, 216, 96 E0 55 E5 AA 00 00 00
  0.2435, 217, 00 00 00 00 00 00 00 00
  0.2439, 092, 6F 8E 6F 82 73 5E 00 57
  0.2466, 165, 10 C0 00 00 00 00 00 00
  0.2466, 047, 04 F0 ED F5 64 AF 00 00
  0.2466, 167, 00 80 00 00 00 1A 7F 00
  0.2466, 171, A5 00 A0 00 00 00 00 00
  0.2466, 200, 00 00 80 1A 80 1A 00 00
  0.2466, 202, 04 F5 38 00 60 00 00 00
  0.2467, 204, C0 00 7D 00 00 00 00 00
  0.2467, 230, 00 00 00 00 8A 00 00 00
  0.2467, 42F, 00 00 00 00 00 00 00 00
  0.2467, 217, 00 00 00 00 00 00 00 00
  0.2479, 041, 00 00 00 00 00 00 00 00
  0.2480, 085, 7E B9 00 00 FC 60 7E 48
  0.2511, 415, 00 00 EC F1 8F FE 0F FE
  0.2511, 41D, 00 00 E0 00 00 00 00 00
  0.2511, 091, 7E F1 7F 4D 62 5C F0 00
  0.2511, 186, 14 04 02 26 81 F7 00 00
  0.2609, 204, C0 00 7D 00 00 00 00 00
  0.2609, 167, 00 80 00 00 00 1A 7F 00
  0.2609, 4B0, C9 00 00 00 B0 00 00 F4
  0.2610, 077, 00 00 08 02 00 07 E5 FA
  0.2610, 07D, 00 00 F4 B0 00 20 07 FD
  0.2610, 42C, 80 02 00 00 90 20 00 00
  0.2610, 213, FF FF 00 0C 01 11 FF 41
  0.2611, 082, 84 00 14 40 7B 00 60 FF
  0.2611, 085, 7E B9 00 00 FB 70 7E 48
  0.2612, 214, 6F 66 00 00 00 00 1F B0
  0.2612, 216, 96 E0 55 E5 AA 00 00 00
  0.2612, 217, 00 00 00 00 00 00 00 00
  0.2612, 455, 00 00 00 00 00 00 00 00
  0.2612, 3D4, FF C1 FE FF DF E0 00 00
  0.2655, 165, 10 C0 00 00 00 00 00 00
  0.2655, 047, 04 F0 ED F5 64 AF 00 00
  0.2655, 156, 91 00 00 00 03 00 00 00
  0.2655, 166, 7D 00 00 02 80 00 00 00
  0.2656, 167, 00 80 00 00 00 1A 7F 00
  0.2656, 178, 00 00 02 00 0E 8A CA 8A
  0.2656, 179, 00 00 00 00 5C A3 03 C4
  0.2656, 200, 00 00 80 1A 80 1A 00 00
  0.2656, 202, 04 F3 48 00 60 00 00 00
  0.2656, 204, C0 00 7D 00 00 00 00 00
  0.2656, 217, 00 00 00 00 00 00 00 00
  0.2656, 230, 00 00 00 00 8A 00 00 00
  0.2656, 415, 00 00 F0 F0 8F FE 0F FE
  0.2756, 041, 00 00 00 00 00 00 00 00
  0.2757, 085, 7E B9 00 00 FA 80 7E 48
  0.2757, 242, 02 8B 1F 6F C3 00 00 01
  0.2757, 3A3, 80 00 00 00 00 00 00 00
  0.2757, 421, 04 00 14 00 00 00 60 00
  0.2758, 333, 00 1C 00 00 00 00 00 00
  0.2758, 424, 00 00 00 01 00 00 00 00
  0.2758, 42D, 00 02 EA 00 00 00 20 00
  0.2758, 41D, 00 00 E0 00 00 00 00 00
  0.2758, 43D, 10 00 00 00 00 00 00 00
  0.2758, 186, 14 04 02 26 81 F7 00 00
  0.2758, 43E, 00 37 10 8C 91 40 48 00
  0.2758, 326, 01 A0 02 79 81 D0 00 00
  0.2759, 091, 7E F7 7F 3B 64 66 F0 00
  0.2759, 204, C0 00 7D 00 00 00 00 00
  0.2759, 167, 00 80 00 00 00 1A 7F 00
  0.2759, 171, A5 00 A0 00 00 00 00 00
  0.2759, 42F, 00 00 00 00 00 00 00 00
  0.2761, 4B0, C9 00 00 00 C0 00 00 F3
  0.2762, 332, 10 A5 71 89 7A 00 00 00
  0.2762, 077, 00 00 07 FD 00 07 E5 FA
  0.2798, 07D, 00 00 F3 C0 00 1F C7 FF
  0.2798, 213, FF FF 00 0C 01 11 FF 41
  0.2798, 082, 84 00 14 40 7B 00 60 FF
  0.2798, 085, 7E B9 00 00 F9 90 7E 48
  0.2799, 214, 6F 66 00 00 00 00 1E C0
  0.2799, 216, 96 E0 55 E5 AA 00 00 00
  0.2799, 217, 00 00 00 00 00 00 00 00
  0.2817, 5B2, B2 00 FF FF FF FF FF FF
  0.2917, 165, 10 C0 00 00 00 00 00 00
  0.2917, 047, 04 F0 ED F5 64 AF 00 00
  0.2917, 167, 00 80 00 00 00 1A 7F 00
  0.2917, 200, 00 00 80 1A 80 1A 00 00
  0.2918, 202, 04 F1 58 00 60 00 00 00
  0.2918, 204, C0 00 7D 00 00 00 00 00
  0.2918, 230, 00 00 00 00 8A 00 00 00
  0.2918, 217, 00 00 00 00 00 00 00 00
  0.2925, 415, 00 00 F4 EF 8F FE 0F FE
  0.2925, 041, 00 00 00 00 00 00 00 00
  0.2925, 085, 7E B9 00 00 F8 A0 7E 48
  0.2925, 41D, 00 00 E0 00 00 00 00 00
  0.2927, 186, 14 04 02 26 81 F7 00 00
  0.2927, 3D4, FF C1 FE FF DF E0 00 00
  0.2973, 204, C0 00 7D 00 00 00 00 00
  0.2973, 167, 00 80 00 00 00 1A 7F 00
  0.2974, 4B0, C9 00 00 00 D0 00 00 F2
  0.2974, 077, 00 00 08 05 00 07 E5 FA
  0.2974, 07D, 00 00 F2 D0 00 1F E8 00
  0.2974, 213, FF FF 00 0C 01 11 FF 41
  0.2974, 082, 84 00 14 40 7B 00 60 FF
  0.2974, 091, 7F 08 7F 53 2B 75 F0 00
  0.2974, 085, 7E B9 00 00 F7 B0 7E 48
  0.2975, 214, 6F 66 00 00 00 00 1D D0
  0.2975, 216, 96 E0 55 E5 AA 00 00 00
  0.2975, 217, 00 00 00 00 00 00 00 00
  0.3000, 263, D0 00 FF FD 01 E8 00 00
  0.3000, 37B, 00 00 00 00 00 00 00 00
  0.3000, 430, 03 02 F3 09 8C 01 33 91
  0.3000, 165, 10 C0 00 00 00 00 00 00
  0.3000, 047, 04 F0 ED F5 64 AF 00 00
  0.3101, 167, 00 80 00 00 00 1A 7F 00
  0.3102, 171, A5 00 A0 00 00 00 00 00
  0.3102, 200, 00 00 80 1A 80 1A 00 00
  0.3102, 202, 04 EF 68 00 60 00 00 00
  0.3102, 204, C0 00 7D 00 00 00 00 00
  0.3102, 230, 00 00 00 00 8A 00 00 00
  0.3102, 42F, 00 00 00 00 00 00 00 00
  0.3102, 217, 00 00 00 00 00 00 00 00
  0.3103, 083, 00 E0 80 00 00 02 00 00
  0.3103, 041, 00 00 00 00 00 00 00 00
  0.3103, 085, 7E B9 00 00 F6 C0 7E 48
  0.3103, 242, 02 8B 1F 6F C3 00 00 01
  0.3103, 40A, C1 10 40 88 60 45 00 00
  0.3103, 42B, CB BE 80 00 00 00 00 00
  0.3103, 42C, 80 02 00 00 90 20 00 00
  0.3103, 468, 00 00 00 00 00 00 00 00
  0.3104, 415, 00 00 F8 EE 8F FE 0F FE
  0.3104, 41D, 00 00 E0 00 00 00 00 00
  0.3104, 469, 00 00 00 00 00 00 00 00
  0.3104, 186, 14 04 02 26 81 F7 00 00
  0.3123, 204, C0 00 7D 00 00 00 00 00
  0.3123, 167, 00 80 00 00 00 1A 7F 00
  0.3124, 43D, 10 00 00 00 00 00 00 00
  0.3124, 43E, 00 37 10 8C 91 40 48 00
  0.3146, 4B0, C9 00 00 00 E0 00 00 F1
  0.3146, 077, 00 00 07 FF 00 07 E9 FA
  0.3147, 07D, 00 00 F1 E0 00 20 08 05
  0.3183, 213, FF FF 00 0C 01 11 FF 41
  0.3183, 082, 84 00 14 40 7B 00 60 FF
  0.3183, 085, 7E B9 00 00 F5 D0 7E 48
  0.3183, 214, 6F 66 00 00 00 00 1C E0
  0.3184, 216, 96 E0 55 E5 AA 00 00 00
  0.3184, 217, 00 00 00 00 00 00 00 00
  0.3184, 416, 56 00 F8 04 00 00 0F FF
  0.3184, 3D4, FF C1 FE FF DF E0 00 00
  0.3262, 091, 7F 0F 7F 45 28 7F F0 00
  0.3264, 165, 10 C0 00 00 00 00 00 00
  0.3264, 047, 04 F0 ED F5 64 AF 00 00
  0.3264, 167, 00 80 00 00 00 1A 7F 00
  0.3264, 200, 00 00 80 1A 80 1A 00 00
  0.3264, 202, 04 ED 78 00 60 00 00 00
  0.3287, 204, C0 00 7D 00 00 00 00 00
  0.3303, 230, 00 00 00 00 8A 00 00 00
  0.3303, 217, 00 00 00 00 00 00 00 00
  0.3304, 415, 00 00 FC ED 8F FE 0F FE
  0.3304, 041, 00 00 00 00 00 00 00 00
  0.3304, 085, 7E B9 00 00 F4 E0 7E 48
  0.3304, 3A3, 80 00 00 00 00 00 00 00
  0.3304, 41D, 00 00 E0 00 00 00 00 00
  0.3305, 186, 14 04 02 26 81 F7 00 00
  0.3418, 204, C0 00 7D 00 00 00 00 00
  0.3418, 167, 00 80 00 00 00 1A 7F 00
  0.3418, 171, A5 00 A0 00 00 00 00 00
  0.3419, 42F, 00 00 00 00 00 00 00 00
  0.3419, 4B0, C9 00 00 00 F0 00 00 F0
  0.3419, 04A, 02 00 00 00 00 00 00 C0
  0.3419, 04B, 00 C0 D8 D8 D8 D8 D8 00
  0.3429, 077, 00 00 08 02 00 07 E9 FA
  0.3430, 07D, 00 00 F0 F0 00 1F E8 05
  0.3433, 082, 84 00 14 40 7B 00 60 FF
  0.3433, 085, 7E B9 00 00 F3 F0 7E 48
  0.3433, 213, FF FF 00 0C 01 11 FF 41
  0.3433, 214, 6F 66 00 00 00 00 1B F0
  0.3434, 216, 96 E0 55 E5 AA 00 00 00
  0.3439, 217, 00 00 00 00 00 00 00 00
  0.3439, 165, 10 C0 00 00 00 00 00 00
  0.3439, 047, 04 F0 ED F5 64 AF 00 00
  0.3440, 167, 00 80 00 00 00 1A 7F 00
  0.3462, 200, 00 00 80 1A 80 1A 00 00
  0.3462, 202, 04 FB 08 00 60 00 00 00
  0.3462, 204, C0 00 7D 00 00 00 00 00
  0.3462, 230, 00 00 00 00 8A 00 00 00
  0.3463, 217, 00 00 00 00 00 00 00 00
  0.3463, 415, 00 00 C0 FC 8F FE 0F FE
  0.3463, 041, 00 00 00 00 00 00 00 00
  0.3463, 085, 7E B9 00 00 02 00 7E 48
  0.3497, 242, 02 8B 1F 6B C3 00 00 01
  0.3497, 41D, 00 00 E0 00 00 00 00 00
  0.3498, 091, 7F 08 7F 3F 26 8E F0 00
  0.3498, 092, 6F 8E 6F 85 73 50 D4 8E
  0.3498, 186, 14 04 02 26 81 F7 00 00
  0.3498, 3D4, FF C1 FE FF DF E0 00 00
  0.3498, 204, C0 00 7D 00 00 00 00 00
  0.3498, 167, 00 80 00 00 00 1A 7F 00
  0.3517, 4B0, C9 00 00 00 00 00 00 FF
  0.3601, 077, 00 00 07 FE 00 07 E9 FA
  0.3602, 07D, 00 00 FF 00 00 1F D8 03
  0.3603, 331, C0 00 71 89 02 20 18 00
  0.3603, 3B6, 08 00 01 00 46 30 54 22
  0.3603, 3B7, 00 00 02 00 6C 6D 70 6B
  0.3603, 213, FF FF 00 0C 01 11 FF 41
  0.3603, 082, 84 00 14 40 7B 00 60 FF
  0.3606, 085, 7E B9 00 00 01 10 7E 48
  0.3607, 214, 6F 66 00 00 00 00 2A 00
  0.3607, 216, 96 E0 55 E5 AA 00 00 00
  0.3607, 217, 00 00 00 00 00 00 00 00
  0.3607, 42C, 80 02 00 00 90 20 00 00
  0.3607, 455, 00 00 00 00 00 00 00 00
  0.3613, 165, 10 C0 00 00 00 00 00 00
  0.3613, 047, 04 F0 ED F5 64 AF 00 00
