# TIMESTAMP, CAN_ID, DATA_BYTES
  0.2556, 041, 00 00 00 00 00 00 00 00
  0.2556, 085, 7E B8 00 00 FF 40 7E 48
  0.2558, 091, 7F 05 7F 47 ED C2 F0 00
  0.2558, 092, 6F 8F 6F 83 73 5B 96 C2
  0.2558, 077, 00 00 08 00 00 07 E9 FA
  0.2558, 07D, 00 00 F5 A0 00 20 08 02
  0.2572, 213, FF FF 00 0C 01 11 FF 41
  0.2602, 214, 6F 66 00 00 00 00 20 A0
  0.2603, 216, 96 E0 55 E5 AA 00 00 00
  0.2603, 217, 00 00 00 00 00 00 00 00
  0.2603, 3D4, FF C1 FE FF DF E0 00 00
  0.2603, 165, 10 C0 00 00 00 00 00 00
  0.2652, 156, 95 00 00 00 03 00 00 00
  0.2653, 166, 7D 00 00 02 80 00 00 00
  0.2653, 167, 00 80 00 00 00 1A 82 00
  0.2653, 171, A5 00 A0 00 00 00 00 00
  0.2653, 178, 00 00 02 00 0E 91 CA 90
  0.2653, 179, 00 00 00 00 5C A3 02 D0
  0.2653, 200, 00 00 80 1B 80 1B 00 00
  0.2653, 202, 04 F4 40 00 60 00 00 00
  0.2653, 204, C0 00 7D 00 00 00 00 00
  0.2653, 230, 00 00 00 00 89 00 00 00
  0.2653, 421, 04 00 14 00 00 00 5A 00
  0.2654, 424, 00 00 00 01 00 00 00 00
  0.2654, 082, 80 00 14 40 7B 00 60 FF
  0.2721, 085, 7E B8 00 00 FE 50 7E 48
  0.2721, 42D, 00 02 DB 00 00 00 20 00
  0.2721, 42F, 00 00 00 00 00 00 00 00
  0.2721, 43D, 10 00 00 00 00 00 00 00
  0.2722, 43E, 00 37 10 8C 95 40 48 00
  0.2722, 186, 14 04 02 26 81 F7 00 00
  0.2722, 217, 00 00 00 00 00 00 00 00
  0.2722, 415, 00 00 EC F1 8F FE 0F FE
  0.2722, 41D, 00 00 E0 00 00 00 00 00
  0.2743, 4B0, F7 00 00 00 B0 00 00 F4
  0.2743, 204, C0 00 7D 00 00 00 00 00
  0.2743, 167, 00 80 00 00 00 1A 82 00
  0.2743, 041, 00 00 00 00 00 00 00 00
  0.2743, 242, 01 80 1F 80 C2 00 00 01
  0.2743, 331, C0 00 76 80 04 27 18 00
  0.2743, 085, 7E B8 00 00 FD 60 7E 48
  0.2765, 077, 00 00 08 02 00 07 E9 FA
  0.2765, 07D, 00 00 F4 B0 00 20 08 01
  0.2791, 213, FF FF 00 0C 01 11 FF 41
  0.2791, 214, 6F 66 00 00 00 00 1F B0
  0.2791, 216, 96 E0 55 E5 AA 00 00 00
  0.2791, 217, 00 00 00 00 00 00 00 00
  0.2820, 165, 10 C0 00 00 00 00 00 00
  0.2820, 167, 00 80 00 00 00 1A 82 00
  0.2820, 200, 00 00 80 1B 80 1B 00 00
  0.2820, 202, 04 F2 50 00 60 00 00 00
  0.2820, 204, C0 00 7D 00 00 00 00 00
  0.2820, 230, 00 00 00 00 89 00 00 00
  0.2912, 456, 80 00 00 00 00 00 00 00
  0.2912, 091, 7F 01 7F 4F DF CC F0 00
  0.2912, 082, 80 00 14 40 7B 00 60 FF
  0.2912, 085, 7E B8 00 00 FC 70 7E 48
  0.2912, 186, 14 04 02 26 81 F7 00 00
